Complaint ID,Product,Consumer complaint narrative
14162973,Credit card,
13938699,Credit card,
14168734,Credit card,
13939471,Credit card,
14135827,"Payday loan, title loan, personal loan, or advance loan",
13745565,Credit card,
13905469,Credit card,
14131133,Checking or savings account,
13988170,Credit card,
13883655,Credit card,
13941201,Checking or savings account,
13765494,Checking or savings account,
13944698,Credit card,
13699361,"Money transfer, virtual currency, or money service",
13820382,Checking or savings account,
13897790,Credit card,
13950594,Checking or savings account,
13876016,Checking or savings account,
14060912,Credit card,"We called Citi Bank Customer Service on XX/XX/year> to question a late fee ( {$30.00} ) and an interest charge on our account ( {$3.00} ), as we always pay on time. The bill was due XX/XX/year> on a Saturday, and we were told the payment was on XX/XX/year>, the Sunday after. We asked to be given an adjustment of those financial charges, but were declined. Instead, our account was closed after a heated conversation, and the manager did not disclose to us what was going to happen to our accumulated Cash Back Rewards of {$26.00}, which turned out to be confiscated."
13817536,"Money transfer, virtual currency, or money service",
13794182,Checking or savings account,
13942892,Credit card,
13851611,Credit card,"I am disputing XXXX returned check fees charged by Citibank to my account, totaling {$82.00} ( {$41.00} on XX/XX/XXXX and {$41.00} on XX/XX/XXXX ). There is no indication on my statements that the XX/XX/XXXX payment was returned due to insufficient funds, nor is there any clear explanation specifying which transaction caused this fee. For the XX/XX/XXXX fee, the payment was successfully processed and withdrawn from my checking account. Despite this, a returned check fee was charged without valid justification. 

I contacted Citibank customer service to request the reasons for both charges but was unable to obtain a clear explanation for the XX/XX/XXXX fee, and the justification provided for the XX/XX/XXXX fee was unreasonable. My requests for refunds of both fees were denied. 

I believe these charges are unfair and may violate consumer protection regulations. I respectfully request a thorough review of my account activity and a refund of these improper fees. I expect a prompt and fair resolution to this matter."
13758252,Credit card,
13909404,Credit card,
13587338,Checking or savings account,
